date,temperature,humidity,luminosity
2021-11-17 15:36:38.736,17.9,31.0,112
2021-11-17 15:36:36.458,17.9,31.0,115
2021-11-17 15:36:34.176,17.9,31.0,112
2021-11-17 15:36:31.899,17.9,31.0,112
2021-11-17 15:36:29.622,17.9,30.9,112
2021-11-17 15:36:27.344,17.9,30.9,112
2021-11-17 15:36:25.066,17.9,30.9,112
2021-11-17 15:36:22.789,17.9,30.9,112
2021-11-17 15:36:20.511,17.9,30.9,112
2021-11-17 15:36:18.233,17.9,30.9,112
2021-11-17 15:36:15.956,17.9,30.9,113
2021-11-17 15:36:13.678,17.9,30.9,113
2021-11-17 15:36:11.401,17.9,30.9,112
2021-11-17 15:36:09.123,17.9,30.8,112
2021-11-17 15:36:06.845,17.9,30.8,112
2021-11-17 15:36:04.568,17.9,30.8,113
2021-11-17 15:36:02.290,17.9,30.8,113
2021-11-17 15:36:00.013,18.0,30.9,112
2021-11-17 15:35:57.735,17.9,30.8,113
2021-11-17 15:35:55.453,18.0,30.8,113
2021-11-17 15:35:53.176,18.0,30.9,115
2021-11-17 15:35:50.898,17.9,30.8,116
2021-11-17 15:35:48.620,18.0,30.9,118
2021-11-17 15:35:46.343,18.0,30.9,116
2021-11-17 15:35:44.065,18.0,30.8,122
2021-11-17 15:35:41.787,17.9,30.8,118
2021-11-17 15:35:39.510,17.9,30.8,125
2021-11-17 15:35:37.232,17.9,30.7,118
2021-11-17 15:35:34.955,18.0,30.8,118
2021-11-17 15:35:32.677,18.0,30.8,122
2021-11-17 15:35:30.399,18.0,30.8,117
2021-11-17 15:35:28.122,18.0,30.7,118
2021-11-17 15:35:25.844,18.0,30.7,122
2021-11-17 15:35:23.567,18.0,30.7,117
2021-11-17 15:35:21.289,18.0,30.7,119
2021-11-17 15:35:19.011,18.0,30.7,117
2021-11-17 15:35:16.734,18.0,30.6,118
2021-11-17 15:35:14.456,18.0,30.6,119
2021-11-17 15:35:12.178,18.0,30.6,123
2021-11-17 15:35:09.897,18.0,30.6,117
2021-11-17 15:35:07.619,18.0,30.6,120
2021-11-17 15:35:05.342,18.0,30.6,118
2021-11-17 15:35:03.064,18.1,30.6,118
2021-11-17 15:35:00.786,18.0,30.5,117
2021-11-17 15:34:58.509,18.0,30.4,117
2021-11-17 15:34:56.231,18.0,30.4,118
2021-11-17 15:34:53.953,18.1,30.4,119
2021-11-17 15:34:51.676,18.1,30.3,119
2021-11-17 15:34:49.398,18.1,30.3,117
2021-11-17 15:34:47.121,18.1,30.2,119
2021-11-17 15:34:44.843,18.1,30.2,117
2021-11-17 15:34:42.565,18.1,30.2,119
2021-11-17 15:34:40.288,18.1,30.2,117
2021-11-17 15:34:38.010,18.1,30.2,119
2021-11-17 15:34:35.732,18.2,30.2,118
2021-11-17 15:34:33.455,18.2,30.2,118
2021-11-17 15:34:31.177,18.2,30.2,119
2021-11-17 15:34:28.895,18.2,30.2,117
2021-11-17 15:34:26.618,18.2,30.2,119
2021-11-17 15:34:24.340,18.2,30.2,119
2021-11-17 15:34:22.063,18.2,30.2,120
2021-11-17 15:34:19.785,18.2,30.2,119
2021-11-17 15:34:17.507,18.2,30.1,118
2021-11-17 15:34:15.230,18.2,30.1,117
2021-11-17 15:34:12.952,18.2,30.1,119
2021-11-17 15:34:10.674,18.2,30.1,118
2021-11-17 15:34:08.397,18.2,30.1,118
2021-11-17 15:34:06.119,18.2,30.1,116
2021-11-17 15:34:03.841,18.2,30.1,113
2021-11-17 15:34:01.564,18.3,30.2,113
2021-11-17 15:33:59.286,18.3,30.1,113
2021-11-17 15:33:57.009,18.3,30.2,115
2021-11-17 15:33:54.727,18.3,30.2,113
2021-11-17 15:33:52.449,18.3,30.2,114
2021-11-17 15:33:50.172,18.3,30.2,114
2021-11-17 15:33:47.894,18.3,30.2,114
2021-11-17 15:33:45.616,18.3,30.2,114
2021-11-17 15:33:43.339,18.3,30.2,115
2021-11-17 15:33:41.061,18.3,30.2,115
2021-11-17 15:33:38.784,18.2,30.1,115
2021-11-17 15:33:36.506,18.2,30.2,115
2021-11-17 15:33:34.228,18.2,30.2,114
2021-11-17 15:33:31.951,18.2,30.3,115
2021-11-17 15:33:29.673,18.2,30.3,115
2021-11-17 15:33:27.396,18.2,30.4,115
2021-11-17 15:33:25.114,18.2,30.4,116
2021-11-17 15:33:22.836,18.2,30.4,114
2021-11-17 15:33:20.559,18.2,30.4,115
2021-11-17 15:33:18.281,18.2,30.4,115
2021-11-17 15:33:16.003,18.2,30.4,115
2021-11-17 15:33:13.726,18.3,30.5,114
2021-11-17 15:33:11.448,18.3,30.4,113
2021-11-17 15:33:09.171,18.3,30.4,113
2021-11-17 15:33:06.893,18.3,30.4,113
2021-11-17 15:33:04.615,18.3,30.5,113
2021-11-17 15:33:02.338,18.3,30.5,113
2021-11-17 15:33:00.060,18.3,30.5,114
2021-11-17 15:32:57.783,18.3,30.5,113
2021-11-17 15:32:55.505,18.3,30.5,113
2021-11-17 15:32:53.227,18.3,30.5,113
2021-11-17 15:32:50.950,18.3,30.5,113
2021-11-17 15:32:48.668,18.3,30.5,116
2021-11-17 15:32:46.390,18.3,30.5,115
2021-11-17 15:32:44.113,18.3,30.5,119
2021-11-17 15:32:41.835,18.4,30.6,114
2021-11-17 15:32:39.557,18.3,30.6,113
2021-11-17 15:32:37.280,18.3,30.6,113
2021-11-17 15:32:35.002,18.3,30.6,113
2021-11-17 15:32:32.725,18.3,30.6,119
2021-11-17 15:32:30.447,18.3,30.6,115
2021-11-17 15:32:28.169,18.3,30.6,114
2021-11-17 15:32:25.892,18.3,30.6,116
2021-11-17 15:32:23.614,18.3,30.7,115
2021-11-17 15:32:21.337,18.3,30.7,118
2021-11-17 15:32:19.059,18.3,30.7,116
2021-11-17 15:32:16.777,18.3,30.7,116
2021-11-17 15:32:14.500,18.3,30.7,116
2021-11-17 15:32:12.222,18.3,30.7,117
2021-11-17 15:32:09.944,18.2,30.6,116
2021-11-17 15:32:07.667,18.3,30.7,117
2021-11-17 15:32:05.389,18.2,30.7,116
2021-11-17 15:32:03.112,18.2,30.7,115
2021-11-17 15:32:00.834,18.2,30.7,113
2021-11-17 15:31:58.556,18.2,30.6,119
2021-11-17 15:31:56.279,18.2,30.6,121
2021-11-17 15:31:54.001,18.2,30.5,147
2021-11-17 15:31:51.724,18.2,30.4,135
2021-11-17 15:31:49.446,18.2,30.4,115
2021-11-17 15:31:47.164,18.3,30.4,115
2021-11-17 15:31:44.887,18.3,30.4,120
2021-11-17 15:31:42.609,18.3,30.4,115
2021-11-17 15:31:40.331,18.3,30.4,116
2021-11-17 15:31:38.054,18.3,30.4,117
2021-11-17 15:31:35.776,18.3,30.4,120
2021-11-17 15:31:33.499,18.3,30.4,119
2021-11-17 15:31:31.221,18.3,30.4,119
2021-11-17 15:31:28.943,18.3,30.4,119
2021-11-17 15:31:26.666,18.3,30.4,120
